" ","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board"
"2019M12",8000,835943,8500,649129,5,2954,0,0,0,0,16326,976996,83823,6093673,145,13220,0,0,0,0,0,0,816,56312,45,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591,237064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M01",10000,992594,1631,141000,240,70000,0,0,0,0,9661,1192540,75760,5263738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,59373,0,0,0,0,0,0,0,0
"2020M02",7223,802728,8700,892455,6121,2479931,0,0,0,0,963,9625,59473,4851832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,48144,100,25498,0,0,0,0,0,0
"2020M03",12155,1329334,0,0,2720,1208456,0,0,0,0,18321,1746067,80471,5826861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,86683,659,300000,0,0,0,0,1176,52878,0,0,0,0,0,0,0,0
"2020M04",0,0,13000,1696697,3210,1346129,0,0,0,0,4260,511311,33039,1838428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M05",3610,359500,0,0,1205,421500,0,0,0,0,10904,977823,40941,4540579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M06",0,0,0,0,5844,2695390,0,0,0,0,11455,738283,16265,1684730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M07",9000,1050513,2631,276160,2571,1143701,0,0,0,0,16219,1936955,17140,857020,0,0,0,0,0,0,0,0,0,0,22,18900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,55698,0,0,0,0,0,0
"2020M08",0,0,0,0,645,316373,0,0,0,0,0,0,4562,166306,0,0,0,0,0,0,0,0,0,0,17,3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M09",0,0,0,0,0,0,0,0,10,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,469743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,129359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M10",0,0,0,0,1901,565000,0,0,0,0,476,23959,3180,160031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020M11",6000,557370,800,133200,0,0,0,0,0,0,4739,525383,54238,4252514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,52920,0,0,0,0,0,0
"2020M12",11500,1209505,14775,1760016,0,0,0,0,0,0,396,16997,122399,10758385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,29400,0,0,0,0,0,0,1063,74615,100,22554,0,0,0,0,0,0
"2021M01",6000,505311,622,182996,1280,384107,0,0,0,0,5219,557474,100536,9452422,0,0,0,0,0,0,0,0,395,24908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,31915,0,0,0,0,0,0
"2021M02",10500,1077619,0,0,1278,412642,0,0,0,0,0,0,12870,1446959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M03",0,0,5500,678072,4168,1805238,0,0,0,0,0,0,78008,6550360,0,0,0,0,0,0,0,0,0,0,176,153219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M04",5000,582030,1500,135000,1893,558948,0,0,1816,777028,29346,3115582,76718,5987445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,17291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M05",0,0,7342,693095,1796,592161,0,0,1764,754720,3575,138250,73996,6990391,0,0,0,0,0,0,0,0,1603,50346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,254994,0,0,0,0,0,0,1080,65405,0,0,0,0,0,0,0,0
"2021M06",5000,589614,380,44740,1962,759511,0,0,0,0,20322,1325855,50199,3797873,0,0,2500,96542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M07",160,65500,500,45000,2167,1018687,0,0,0,0,13730,1141912,11646,1198085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M08",0,0,4378,435774,1299,397729,0,0,0,0,0,0,3540,235049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,18900,0,0,0,0,0,0
"2021M09",0,0,0,0,0,0,0,0,0,0,0,0,6464,383346,0,0,0,0,0,0,0,0,0,0,90,67032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M10",17,11560,3000,286523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M11",1500,270043,3000,286523,150,48000,0,0,0,0,0,0,54223,4117915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,24110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021M12",20898,2471476,14000,1464876,5,6000,0,0,0,0,0,0,67217,6380584,0,0,0,0,0,0,0,0,0,0,44,35505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,33750,0,0,0,0,0,0
"2022M01",16000,1627527,13000,1331523,1097,375649,0,0,0,0,29209,3846979,103970,11155786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M02",0,0,1500,135000,1301,425835,0,0,664,195694,0,0,124048,13690625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M03",0,0,2841,1099801,3605,1299794,0,0,0,0,1329,56456,72329,8794160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7673,153450,141,20677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
